1 - | Kصحيح
2 - | S [ش (ذروني) أي اتركوني من السؤال. (ما تركتم) " ما " مصدرية ظرفية. أي مدة ما تركتم] .Kصحيح
3 - | Zهذا الحديث مما انفرد به المصنف.Kصحيح
4 - | S [ش (لم يعده) أي لم يتجاوز بالزيادة على قدر الوارد في الحديث ولا إفراط فيه ولم يقصر في التقصير دونه] .Kصحيح
5 - | S [ش (نتخوفه) أي نظهر الخوف. (آلفقر) بمد الهمزة على الاستفهام. وهو مفعول مقدم. (إلا هيه) هي ضمير الدنيا. والهاء في آخره للسكت. أي لا يميل قلب أحدكم إلا الدنيا. (على مثل البيضاء) المعنى على قلوب بيضاء نقية عن الميل إلى الباطل لا يميلها عن الإقبال على الله تعالى السراء والضراء.Kحسن
6 - | S [ش (طائفة) الطائفة الجماعة من الناس. والتنكير للتقليل أو التعظيم لعظم قدرهم ووفور فضلهم. قال أحمد بن حنبل في هذه الطائفة إن لم يكونوا هم أهل الحديث فلا أدري من هم؟] .Kصحيح
7 - | Kحسن صحيح
8 - | Kحسن
9 - | S [ش (ظاهرون) أي غالبون] .Kصحيح
10 - | S [ش (أمر الله) قال النووي ثم الحافظ ابن حجر المراد بأمر الله هبوب تلك الريح التي تقبض روح كل مؤمن] .Kصحيح
11 - | Kصحيح
12 - | S [ش (يوشك الرجل) هو مضارع أوشك. قال ابن مالك هو أحد أفعال المقاربة ويقتضي اسما مرفوعا وخبرا يكون فعلا مضارعا مقرونا ب - " أن ". ولا أعلم تجرده من " أن " إلا في هذا الحديث وفي بعض الأشعار. (متكئا على أريكته) أي جالسا على سريره المزين. (استحللناه) اتخذناه حلالا] .Kصحيح
13 - | S [ش (لا ألفين) صيغة المتكلم المؤكدة بالنون الثقيلة. من ألفيت الشيء وجدته وظاهره نهى النبي صلى الله عليه وسلم نفسه عن أن يجدهم على هذه الحالة. والمراد نهيهم عن أن يكونوا على هذه الحالة. (ما وجدنا) " ما " موصولة مبتدأ خبره اتبعناه] .Kصحيح
14 - | S [ش (في أمرنا) أي في شأننا. فالأمر واحد الأمور. أو في ما أمرنا به فالأمر واحد الأوامر. (فهو رد) أي مردود] .Kصحيح
15 - | S [ش (شراج الحرة) الشراج جمع شرجة وهي مسايل الماء. والحرة أرض ذات حجارة سود. (سرح الماء) أي أطلقه بعد احتباسه. (إن كان) يفتح الهمزة حرف مصدري أو مخفف " أن " واللام مقدرة. أي حكمت بذلك لكونه ابن عمتك. والجملة استئنافية في موضع التعليل. (فتلون) أي تغير وظهر فيه آثار الغضب. (الجدر) هو الجدار. قبل المراد ما رفع حول المزرعة كالجدار. وقيل أصول الشجر] .Kصحيح
16 - | S [ش (إماء الله) أي النساء] .Kصحيح
17 - | S [ش (فحذف) هو في الحصاة والنواة يأخذها بين السبابتين ويرمي بها. (تنكى) من نكيت العدو أنكى نكاية إذا أكثرت فيه الجراح والقتل. (تفقأ) تشق] .Kصحيح
18 - | S [ش (النقيب) أي نقيب الأنصار ليلة العقبة. (كسر الذهب) قطع الذهب وزنا ومعنى] .Kصحيح
