hadithnumber,arabicnumber,text,book,hadith,Al-Albani,Muhammad Muhyi Al-Din Abdul Hamid,Shuaib Al Arnaut,Zubair Ali Zai
1,1,حدثنا عبد الله بن مسلمة بن قعنب القعنبي، حدثنا عبد العزيز، - يعني ابن محمد - عن محمد، - يعني ابن عمرو - عن ابي سلمة، عن المغيرة بن شعبة، ان النبي صلى الله عليه وسلم كان اذا ذهب المذهب ابعد,1,1,Hasan Sahih,Hasan Sahih,Sahih Lighairihi,Isnaad Hasan
2,2,حدثنا مسدد بن مسرهد، حدثنا عيسى بن يونس، اخبرنا اسماعيل بن عبد الملك، عن ابي الزبير، عن جابر بن عبد الله، ان النبي صلى الله عليه وسلم كان اذا اراد البراز انطلق حتى لا يراه احد,1,2,Sahih,Sahih,Sahih Lighairihi,Daif
3,3,"حدثنا موسى بن اسماعيل، حدثنا حماد، اخبرنا ابو التياح، حدثني شيخ، قال لما قدم عبد الله بن عباس البصرة فكان يحدث عن ابي موسى، فكتب عبد الله الى ابي موسى يساله عن اشياء، فكتب اليه ابو موسى اني كنت مع رسول الله صلى الله عليه وسلم ذات يوم فاراد ان يبول فاتى دمثا في اصل جدار فبال ثم قال صلى الله عليه وسلم "" اذا اراد احدكم ان يبول فليرتد لبوله موضعا",1,3,Daif,Daif,Daif,Daif
4,4,"حدثنا مسدد بن مسرهد، حدثنا حماد بن زيد، وعبد الوارث، عن عبد العزيز بن صهيب، عن انس بن مالك، قال كان رسول الله صلى الله عليه وسلم اذا دخل الخلاء - قال عن حماد قال "" اللهم اني اعوذ بك "" . وقال عن عبد الوارث - قال "" اعوذ بالله من الخبث والخبايث "" . قال ابو داود رواه شعبة عن عبد العزيز اللهم اني اعوذ بك وقال مرة اعوذ بالله و قال وهيب فليتعوذ بالله",1,4,Sahih,Sahih,Sahih,Sahih Bukhari (142) Sahih Muslim (375)
5,5,"حدثنا الحسن بن عمرو، - يعني السدوسي - حدثنا وكيع، عن شعبة، عن عبد العزيز، - هو ابن صهيب - عن انس، بهذا الحديث قال "" اللهم اني اعوذ بك "" . وقال شعبة وقال مرة "" اعوذ بالله",1,5,Shadh,Shadh,,Isnaad Sahih
6,6,"حدثنا عمرو بن مرزوق، اخبرنا شعبة، عن قتادة، عن النضر بن انس، عن زيد بن ارقم، عن رسول الله صلى الله عليه وسلم قال "" ان هذه الحشوش محتضرة فاذا اتى احدكم الخلاء فليقل اعوذ بالله من الخبث والخبايث",1,6,Sahih,Sahih,,Isnaad Sahih
7,7,حدثنا مسدد بن مسرهد، حدثنا ابو معاوية، عن الاعمش، عن ابراهيم، عن عبد الرحمن بن يزيد، عن سلمان، قال قيل له لقد علمكم نبيكم كل شىء حتى الخراءة . قال اجل لقد نهانا صلى الله عليه وسلم ان نستقبل القبلة بغايط او بول وان لا نستنجي باليمين وان لا يستنجي احدنا باقل من ثلاثة احجار او يستنجي برجيع او عظم,1,7,Sahih,Sahih,Sahih,Sahih Muslim (262)
8,8,"حدثنا عبد الله بن محمد النفيلي، حدثنا ابن المبارك، عن محمد بن عجلان، عن القعقاع بن حكيم، عن ابي صالح، عن ابي هريرة، قال قال رسول الله صلى الله عليه وسلم "" انما انا لكم بمنزلة الوالد اعلمكم فاذا اتى احدكم الغايط فلا يستقبل القبلة ولا يستدبرها ولا يستطب بيمينه "" . وكان يامر بثلاثة احجار وينهى عن الروث والرمة",1,8,Hasan,Hasan,,Isnaad Hasan
9,9,"حدثنا مسدد بن مسرهد، حدثنا سفيان، عن الزهري، عن عطاء بن يزيد الليثي، عن ابي ايوب، رواية قال "" اذا اتيتم الغايط فلا تستقبلوا القبلة بغايط ولا بول ولكن شرقوا او غربوا "" . فقدمنا الشام فوجدنا مراحيض قد بنيت قبل القبلة فكنا ننحرف عنها ونستغفر الله",1,9,Sahih,Sahih,Sahih,Sahih Bukhari (394) Sahih Muslim (264)
10,10,حدثنا موسى بن اسماعيل، حدثنا وهيب، حدثنا عمرو بن يحيى، عن ابي زيد، عن معقل بن ابي معقل الاسدي، قال نهى رسول الله صلى الله عليه وسلم ان نستقبل القبلتين ببول او غايط . قال ابو داود وابو زيد هو مولى بني ثعلبة,1,10,Daif,Munkar,Daif,Daif
