hadithnumber,text,book,hadith,arabicnumber
1,,0,1,
2,,0,2,
3,,0,3,
4,,0,4,
5,,0,5,
6,,0,6,
7,,0,7,
8,,0,8,
9,,0,9,
10,,0,10,
11,,0,11,
12,,0,12,
13,,0,13,
14,,0,14,
15,,0,15,
16,,0,16,
17,,0,17,
18,,0,18,
19,,0,19,
20,,0,20,
21,,0,21,
22,,0,22,
23,,0,23,
24,,0,24,
25,,0,25,
26,,0,26,
27,,0,27,
28,,0,28,
29,,0,29,
30,,0,30,
31,,0,31,
32,,0,32,
33,,0,33,
34,,0,34,
35,,0,35,
36,,0,36,
37,,0,37,
38,,0,38,
39,,0,39,
40,,0,40,
41,,0,41,
42,,0,42,
43,,0,43,
44,,0,44,
45,,0,45,
46,,0,46,
47,,0,47,
48,,0,48,
49,,0,49,
50,,0,50,
51,,0,51,
52,,0,52,
53,,0,53,
54,,0,54,
55,,0,55,
56,,0,56,
57,,0,57,
58,,0,58,
59,,0,59,
60,,0,60,
61,,0,61,
62,,0,62,
63,,0,63,
64,,0,64,
65,,0,65,
66,,0,66,
67,,0,67,
68,,0,68,
69,,0,69,
70,,0,70,
71,,0,71,
72,,0,72,
73,,0,73,
74,,0,74,
75,,0,75,
76,,0,76,
77,,0,77,
78,,0,78,
79,,0,79,
80,,0,80,
81,,0,81,
82,,0,82,
83,,0,83,
84,,0,84,
85,,0,85,
86,,0,86,
87,,0,87,
88,,0,88,
89,,0,89,
90,,0,90,
91,,0,91,
92,,0,92,
93,,1,1,8.01
94,,1,2,8.02
95,,1,3,8.03
96,,1,4,8.04
97,"Abou Hourayra (que Dieu l'agrée) a dit : Le Prophète (paix et bénédiction de Dieu sur lui) s'étant un jour montré au public, un homme vint lui dire : ""Ô Envoyé de Dieu! Qu'est-ce que la foi?"". - ""C'est, répondit-il, de croire en Dieu, à Ses anges, à Son Livre, à Sa rencontre, à Ses Prophètes et à la Résurrection"". - ""Ô Envoyé de Dieu! Qu'est-ce que l'Islam?"", reprit l'homme. - ""L'Islam, dit le Prophète, consiste à adorer Dieu sans jamais Lui donner d'associés, à s'acquitter de la prière prescrite, à verser l'aumône légale (Az-Zakâ), à jeûner le ramadan"". - ""Ô Envoyé de Dieu! Qu'est-ce que la perfection (al-'ihsân)?"", demanda l'homme. - ""C'est, répliqua le Prophète, d'adorer Dieu comme si vous Le voyiez. Car bien que vous ne le voyiez pas, Lui certes vous voit"". - ""Ô Envoyé de Dieu! Quand est-ce qu'aura lieu l'Heure Suprême?"", reprit l'homme. ""L'interrogé, dit-il, n'en sait pas plus que celui qui interroge. Je vous parlerai plutôt de ses prodromes : Quand l'esclave enfantera son maître; que les va-nu-pieds seront à la tête des gens; et que les pâtres des moutons se vautreront dans leurs constructions élevées. Cette Heure fait partie des cinq (événements) que Seul Dieu détient le secret"". Et le Prophète (paix et bénédiction de Dieu sur lui) de réciter ce verset : La connaissance de l'Heure et auprès de Dieu; et c'est Lui qui fait tomber la pluie salvatrice; et Il sait ce qu'il y a dans les matrices. Et personne ne sait ce qu'il acquerra demain, et personne ne sait dans quelle terre il mourra. Certes Dieu est Omniscient et Parfaitement Connaisseur. L'homme s'éloigna aussitôt et quand le Prophète (paix et bénédiction de Dieu sur lui) ordonna de le faire revenir, personne ne put déceler la moindre trace de l'homme. ""Cet homme, dit alors le Prophète (paix et bénédiction de Dieu sur lui), est Gabriel; il est venu enseigner aux hommes leur religion"". Prières considérées comme l'un des piliers de l'Islam",1,5,8.05
98,,1,6,9
99,,1,7,10
100,"Talha Ibn 'Oubaydillâh (que Dieu l'agrée) a dit : Un homme du Nedjd aux cheveux hirsutes vint trouver le Prophète (paix et bénédiction de Dieu sur lui). Nous entendîmes le retentissement de sa voix sans distinguer ce qu'il disait. Quand il s'approcha du Prophète (paix et bénédiction de Dieu sur lui), nous nous aperçûmes qu'il l'interrogeait sur l'Islam. L'Envoyé de Dieu (paix et bénédiction de Dieu sur lui) lui répondit : ""Cinq prières à accomplir pendant le jour et la nuit"". - ""Dois-je accomplir d'autres prières?"", demanda l'homme. - ""Non, à moins que tu ne veuilles faire œuvre supplémentaire"". - ""Il y a aussi le jeûne du ramadan"", reprit le Prophète. - ""Dois-je observer d'autres jeûnes?"", ajouta l'homme. - ""Non, à moins que tu ne veuilles faire œuvre supplémentaire"", dit le Prophète (paix et bénédiction de Dieu sur lui), qui mentionna alors l'aumône légale (Az-Zakâ). - ""Dois-je payer d'autre aumône?"", demanda l'homme. - ""Non, à moins que tu ne veuilles faire œuvre supplémentaire"", répéta le Prophète. L'homme s'en alla en disant : ""Par Dieu! Je n'en ferai rien de plus ni rien de moins"". Le Prophète (paix et bénédiction de Dieu sur lui) dit alors : ""Il réussira s'il est sincère"". Interrogation au sujet des piliers de l'Islam",1,8,11.01
101,,1,9,11.02
102,"Anas Ibn Mâlik (que Dieu l'agrée) a dit : Il nous fut interdit de poser des questions inutiles à l'Envoyé de Dieu (paix et bénédiction de Dieu sur lui); aussi nous plaisait-il qu'un bédouin sensé vint lui (paix et bénédiction de Dieu sur lui) demander des éclaircissements et nous d'entendre ses réponses. Il arriva qu'un bédouin se présenta chez le Prophète et lui dit :"" Ô Muhammad! Ton messager est venu nous informer que tu prétends que Dieu t'a chargé d'une Mission"". - ""Il a dit vrai"", répliqua le Prophète. - ""Qui est donc le Créateur du ciel?"", reprit le bédouin. - ""Dieu"". - ""Qui est le Créateur de la terre?"". - ""Dieu"". - ""Qui a dressé ces montagnes et y a mis les choses utiles?"". - ""Dieu"". - ""Alors! Par le Créateur du ciel et de la terre, qui a dressé ces montagnes, est-ce Dieu qui t'a envoyé?"". - ""Oui"". - ""Ton messager a prétendu aussi que nous devions accomplir cinq prières tout au long du jour et de la nuit"". - ""Il a dit vrai"". - ""Par Celui qui t'a envoyé! Est-ce Dieu qui te les a prescrits?"". ""Oui"" -""Ton messager a prétendu aussi que nous devions verser une aumône légale (Az-Zakâ) prélevée sur nos biens (pour les purifier)"". - ""Il a dit vrai"". - ""Par Celui qui t'a envoyé! Est-ce Dieu qui te l'a prescrite?"". - ""Oui"". - ""Ton messager a prétendu aussi que nous devions jeûner annuellement pendant le mois du ramadan?"". - ""Il a dit vrai"". - ""Par Celui qui t'a envoyé! Est-ce Dieu qui te l'a prescrit?"". - ""Oui"". - ""Ton messager a encore prétendu que chacun de nous devrait accomplir le Hajj s'il en possédait les moyens"". - ""Il a dit vrai"". - ""Eh bien!, conclut l'homme, par Celui qui t'a envoyé avec la Vérité, je me conformerai à ces prescriptions sans n'y rien ajouter ni omettre"". - ""Si cet homme est sincère, dit enfin le Prophète (paix et bénédiction de Dieu sur lui), il entrera sûrement au Paradis"". Celui qui observe ce dont on lui a ordonné, entrera au Paradis",1,10,12.01
103,,1,11,12.02
104,"D'après Abou Ayyoûb Al-Ansâri (que Dieu l'agrée), un bédouin se présenta au Prophète (paix et bénédiction de Dieu sur lui) pendant l'un de ses voyages, saisit le licol de sa chamelle, puis dit : ""Ô Envoyé de Dieu (ou ""ô Muhammad"") Indiquez-moi ce qui me frayera les voies au Paradis et m'écartera de l'Enfer"". Le Prophète (paix et bénédiction de Dieu sur lui) s'arrêta, se tourna vers ses compagnons et dit : ""C'est bien un but qu'il recherche. Répétez ce que vous venez de dire!"". A la question répétée, le Prophète (paix et bénédiction de Dieu sur lui) répondit : ""Adorez Dieu, sans rien Lui associer; observez la prière; versez l'aumône légale (Az-Zakâ) et soignez tes liens de sang... Lâchez la chamelle",1,12,13.01
105,,1,13,13.02
106,,1,14,14.01
107,"Selon Abou Hourayra (que Dieu l'agrée), un bédouin vint trouver le Prophète (paix et bénédiction de Dieu sur lui) et lui dit : ""Ô Envoyé de Dieu! Indique-moi une œuvre qui me frayera la voie au Paradis"". - ""Tu n'as qu'à adorer Dieu, répondit le Prophète; sans rien Lui associer, à observer la prière prescrite; à payer l'aumône légale (Az-Zakâ) et à jeûner pendant le ramadan"". - ""Par Celui qui tient ma vie entre Ses mains! Je ne ferai rien de plus ni de moins"", répliqua le bédouin. Aussitôt l'homme partit, le Prophète dit : ""Que celui qui se réjouit de voir l'un des hôtes du Paradis, regarde cet homme"". Piliers et assises de l'Islam",1,15,14.02
108,,1,16,15.01
109,,1,17,15.02
110,,1,18,15.03
111,,1,19,16.01
112,,1,20,16.02
113,"Selon Ibn 'Omar (رضي الله عنهما), l'Envoyé de Dieu (le Très-Haut) a dit : ""L'Islam est bâti sur cinq piliers : l'unicité de Dieu; la pratique de la prière (As-Salâ); l'acquittement de l'aumône légale (Az-Zakâ); le jeûne du ramadan (As-Siyâm) et l'accomplissement du Hajj"". Ordre de croire en Dieu le Très-Haut, en Son Envoyé, et en la loi de la religion, d'inciter à embrasser cette religion, de s'enquérir à son sujet, de l'observer, et de la communiquer à celui qui n'en a pas pris connaissance",1,21,16.03
114,,1,22,16.04
